Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
D3DRMFRAMEMOVECALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMFREEFUNCTION,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMLOADCALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMLOADTEXTURECALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMMALLOCFUNCTION,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMOBJECTCALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMREALLOCFUNCTION,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMUPDATECALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMUSERVISUALCALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DRMWRAPCALLBACK,No,Yes,No,DirectX2,user-defined,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
D3DVALIDATECALLBACK,No,Yes,No,DirectX2, -,ddraw.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,callback function
DdeCallback,Yes,Yes,Yes,callback/dde,user-defined,ddeml.h,PFNCALLBACK,,No,callback function
DebugProc,Yes,No,No,callback/debugging,user-defined,winuser.h,HOOKPROC,,No,callback function
DialogProc,Yes,Yes,Yes,callback/dialog,user-defined,winuser.h,DLGPROC,,No,callback function
DISMISSMODELESS,Yes,Yes,No,MAPI,user-defined,mapidefs.h,,Since MAPI 1.0,No,callback function
DrawStateProc,Yes,Yes,No,callback/user,user-defined,winuser.h,DRAWSTATEPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
DriverProc,Yes,Yes,No,callback/mm,user-defined,mmsystem.h,DRIVERPROC,,No,callback function
