Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
IDirect3DRMAnimationSet::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMAnimationSet::SetTime,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMArray::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMArray::GetSize,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMArray::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMArray::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::AddUpdateCallback,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::DeleteUpdateCallback,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetBufferCount,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetColorModel,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetDirect3DDevice,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetDither,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetHeight,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetQuality,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetShades,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetTextureQuality,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetTrianglesDrawn,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetViewports,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetWidth,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::GetWireframeOptions,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::Init,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::InitFromClipper,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::InitFromD3D,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::SetBufferCount,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::SetDither,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::SetQuality,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::SetShades,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::SetTextureQuality,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDevice::Update,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDeviceArray::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDeviceArray::GetElement,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDeviceArray::GetSize,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDeviceArray::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMDeviceArray::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::AddVertex,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::AddVertexAndNormalIndexed,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetMaterial,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetNormal,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetTexture,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetTextureCoordinateIndex,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetTextureCoordinates,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetTextureTopology,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetVertex,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetVertexCount,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetVertexIndex,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::GetVertices,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetColorRGB,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetMaterial,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetTexture,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetTextureCoordinates,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFace::SetTextureTopology,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFaceArray::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFaceArray::GetElement,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFaceArray::GetSize,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFaceArray::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFaceArray::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddChild,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddLight,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddMoveCallback,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddRotation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddScale,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddTransform,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddTranslation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::AddVisual,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::DeleteChild,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::DeleteLight,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::DeleteMoveCallback,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::DeleteVisual,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetChildren,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetLights,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetMaterialMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetOrientation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetParent,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetPosition,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetRotation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetScene,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneBackground,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneBackgroundDepth,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneFogColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneFogEnable,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneFogMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSceneFogParams,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetSortMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetTexture,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetTextureTopology,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetTransform,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetVelocity,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetVisuals,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::GetZbufferMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::InverseTransform,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::Load,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::LookAt,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::Move,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetColorRGB,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetMaterialMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetOrientation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetPosition,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetRotation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneBackground,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneBackgroundDepth,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneBackgroundImage,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneBackgroundRGB,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneFogColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneFogEnable,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneFogMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSceneFogParams,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetSortMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetTexture,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetTextureTopology,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetVelocity,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::SetZbufferMode,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrame::Transform,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrameArray::AddRef ,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrameArray::GetElement ,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrameArray::GetSize ,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrameArray::QueryInterface ,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMFrameArray::Release ,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetConstantAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetEnableFrame,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetLinearAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetPenumbra,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetQuadraticAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetRange,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetType,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::GetUmbra,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetColorRGB,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetConstantAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetEnableFrame,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetLinearAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetPenumbra,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetQuadraticAttenuation,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetRange,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetType,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLight::SetUmbra,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLightArray::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLightArray::GetElement,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLightArray::GetSize,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLightArray::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMLightArray::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::GetEmissive,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::GetPower,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::GetSpecular,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::SetEmissive,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::SetPower,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMaterial::SetSpecular,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::AddGroup,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::AddRef,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetBox,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroup,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupCount,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupMapping,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupMaterial,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupQuality,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetGroupTexture,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::GetVertices,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::QueryInterface,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::Release,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::Scale,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
IDirect3DRMMesh::SetGroupColor,No,Yes,No,DirectX2, -,d3drm.h,Windows 95: Available as a redistributable and in OSR2,New for Windows 95,No,interface method
